┌────┬────────────────────────────────┬─────────────┬─────────┬─────────┬──────────┬────────┬──────┬───────────┬──────────┬──────────┬──────────┬──────────┐
│ id │ name                           │ namespace   │ version │ mode    │ pid      │ uptime │ ↺    │ status    │ cpu      │ mem      │ user     │ watching │
├────┼────────────────────────────────┼─────────────┼─────────┼─────────┼──────────┼────────┼──────┼───────────┼──────────┼──────────┼──────────┼──────────┤
│ 9  │ anchor-profit-monitor          │ default     │ N/A     │ fork    │ 4765     │ 24h    │ 0    │ online    │ 0%       │ 31.1mb   │ user     │ disabled │
│ 1  │ coin-price-tracker             │ default     │ N/A     │ fork    │ 108708   │ 7m     │ 53   │ online    │ 0%       │ 30.9mb   │ user     │ disabled │
│ 5  │ crypto-index-collector         │ default     │ N/A     │ fork    │ 4760     │ 24h    │ 0    │ online    │ 0%       │ 31.2mb   │ user     │ disabled │
│ 18 │ daily-task-runner              │ default     │ N/A     │ fork    │ 65371    │ 5h     │ 0    │ online    │ 0%       │ 12.6mb   │ user     │ disabled │
│ 12 │ escape-auto-updater            │ default     │ N/A     │ fork    │ 11602    │ 21h    │ 0    │ online    │ 0%       │ 11.5mb   │ user     │ disabled │
│ 10 │ escape-signal-monitor          │ default     │ N/A     │ fork    │ 4766     │ 24h    │ 0    │ online    │ 0%       │ 37.2mb   │ user     │ disabled │
│ 17 │ extreme-market-monitor         │ default     │ N/A     │ fork    │ 46246    │ 11h    │ 1    │ online    │ 0%       │ 30.7mb   │ user     │ disabled │
│ 11 │ flask-app                      │ default     │ N/A     │ fork    │ 109580   │ 2m     │ 67   │ online    │ 0%       │ 421.3mb  │ user     │ disabled │
│ 20 │ gdrive-detector                │ default     │ N/A     │ fork    │ 98535    │ 95m    │ 4    │ online    │ 0%       │ 47.4mb   │ user     │ disabled │
│ 16 │ gdrive-updater                 │ default     │ N/A     │ fork    │ 72044    │ 4h     │ 6    │ online    │ 0%       │ 35.1mb   │ user     │ disabled │
│ 8  │ liquidation-1h-collector       │ default     │ N/A     │ fork    │ 4764     │ 24h    │ 0    │ online    │ 0%       │ 29.2mb   │ user     │ disabled │
│ 6  │ okx-day-change-collector       │ default     │ N/A     │ fork    │ 4761     │ 24h    │ 0    │ online    │ 0%       │ 30.4mb   │ user     │ disabled │
│ 14 │ panic-collector                │ default     │ N/A     │ fork    │ 14984    │ 21h    │ 0    │ online    │ 0%       │ 29.8mb   │ user     │ disabled │
│ 3  │ price-speed-collector          │ default     │ N/A     │ fork    │ 4756     │ 24h    │ 0    │ online    │ 0%       │ 67.7mb   │ user     │ disabled │
│ 15 │ sar-jsonl-collector            │ default     │ N/A     │ fork    │ 78957    │ 2h     │ 16   │ online    │ 0%       │ 48.2mb   │ user     │ disabled │
│ 7  │ sar-slope-collector            │ default     │ N/A     │ fork    │ 78447    │ 3h     │ 1    │ online    │ 0%       │ 29.2mb   │ user     │ disabled │
│ 22 │ sar-slope-updater              │ default     │ N/A     │ fork    │ 82980    │ 2h     │ 0    │ online    │ 0%       │ 14.6mb   │ user     │ disabled │
│ 13 │ sr-levels-updater              │ default     │ N/A     │ fork    │ 12423    │ 21h    │ 0    │ online    │ 0%       │ 12.0mb   │ user     │ disabled │
│ 2  │ support-resistance-snapshot    │ default     │ N/A     │ fork    │ 4755     │ 24h    │ 0    │ online    │ 0%       │ 16.0mb   │ user     │ disabled │
│ 4  │ v1v2-collector                 │ default     │ N/A     │ fork    │ 4757     │ 24h    │ 0    │ online    │ 0%       │ 30.1mb   │ user     │ disabled │
└────┴────────────────────────────────┴─────────────┴─────────┴─────────┴──────────┴────────┴──────┴───────────┴──────────┴──────────┴──────────┴──────────┘
